,Category,Message
0,1,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
1,1,Ok lar... Joking wif u oni...
3,1,U dun say so early hor... U c already then say...
4,1,"Nah I don't think he goes to usf, he lives around here though"
6,1,Even my brother is not like to speak with me. They treat me like aids patent.
7,1,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
10,1,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
13,1,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
14,1,I HAVE A DATE ON SUNDAY WITH WILL!!
16,1,Oh k...i'm watching here:)
17,1,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
18,1,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b
20,1,Is that seriously how you spell his name?
21,1,IÛ÷m going to try for 2 months ha ha only joking
22,1,So Ì_ pay first lar... Then when is da stock comin...
23,1,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
24,1,Ffffffffff. Alright no way I can meet up with you sooner?
25,1,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
26,1,Lol your always so convincing.
27,1,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
28,1,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
29,1,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
30,1,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
31,1,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
32,1,K tell me anything about you.
33,1,For fear of fainting with the of all that housework you just did? Quick have a cuppa
35,1,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
36,1,"Oops, I'll let you know when my roommate's done"
37,1,I see the letter B on my car
38,1,Anything lor... U decide...
39,1,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
40,1,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
41,1,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
43,1,WHO ARE YOU SEEING?
44,1,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
45,1,No calls..messages..missed calls
46,1,Didn't you get hep b immunisation in nigeria.
